stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
450012140,,"Carlinghow Hill Transvaal Terrace",,53.721050429,-1.640962334,,,,,,
450016178,,"Cemetery Road Crow Nest Park",,53.686929826,-1.646476386,,,,,,
450023777,,"Chapel Fold",,53.705422124,-1.650790339,,,,,,
450011077,,"Chartists Way",,53.742055396,-1.603773717,,,,,,
450011076,,"Chartists Way",,53.74219875,-1.603635913,,,,,,
450016270,,"Chestnut Avenue Lime Tree Avenue",,53.709040589,-1.649502965,,,,,,
450025614,,"Chinewood Ave Wyvern Close",,53.719325726,-1.638309992,,,,,,
450025613,,"Chinewood Avenue Carlinghow Hill",,53.720015323,-1.640471069,,,,,,
450016272,,"Chinewood Avenue Carlinghow Hill",,53.719753856,-1.640200531,,,,,,
450016274,,"Chinewood Avenue County Close",,53.718721409,-1.634648072,,,,,,
450016275,,"Chinewood Avenue County Close",,53.718522751,-1.634346728,,,,,,
450016273,,"Chinewood Avenue Wyvern Close",,53.719226951,-1.638341146,,,,,,
450010342,,"Commercial Street E",,53.745347293,-1.599042268,,,,,,
450016246,,"Cullingworth Street",,53.704549589,-1.650555186,,,,,,
450023729,,"Cullingworth Street",,53.704630745,-1.650645404,,,,,,
450025359,,"Dark Lane Gladwin St",,53.709503148,-1.641787778,,,,,,
450012148,,"Dark Lane Gladwin St",,53.709638509,-1.641968429,,,,,,
450024170,,"Dewsbury & District Hospital A",,53.702552457,-1.649950671,,,,,,
450024171,,"Dewsbury & District Hospital B",,53.702704986,-1.649858521,,,,,,
450030132,,"Dewsbury Bus Station",,53.689795886,-1.631173191,,,,,,
450016222,,"Dewsbury Gate Road Hilary Street",,53.705712069,-1.654696286,,,,,,
450016221,,"Dewsbury Gate Road Occupation Lane",,53.705506001,-1.6549252,,,,,,
450016171,,"Dewsbury Ring Road Ashworth Road",,53.690882192,-1.633692636,,,,,,
450024438,,"Elvaston Road Flexbury Avenue",,53.739652887,-1.604621657,,,,,,
450051453,,"Elvaston Road Flexbury Avenue",,53.739504805,-1.604388963,,,,,,
450051452,,"Harlington Road Elvaston Road",,53.738384672,-1.605415221,,,,,,
450024437,,"Harlington Road Elvaston Road",,53.738474401,-1.6053689,,,,,,
450016182,,"Heckmondwike Road Beckett Lane",,53.689233849,-1.653680174,,,,,,
450016181,,"Heckmondwike Road Burgh Mill Lane",,53.687912247,-1.650465714,,,,,,
450016180,,"Heckmondwike Road Burgh Mill Lane",,53.687958687,-1.650980166,,,,,,
450016179,,"Heckmondwike Road Cemetery Road",,53.686790118,-1.647870604,,,,,,
450012485,,"High School Windsor Road",,53.733308011,-1.646269573,,,,,,
450012484,,"High School Windsor Road",,53.733047229,-1.646226286,,,,,,
450011073,,"High Street",,53.737151092,-1.60474457,,,,,,
450011072,,"High Street",,53.737141505,-1.60456274,,,,,,
450016177,,"High Street Park Avenue",,53.688411008,-1.642814665,,,,,,
450016176,,"High Street Park Parade",,53.688142136,-1.643074358,,,,,,
450016174,,"High Street St Matthew Road",,53.689347044,-1.64023248,,,,,,
450016175,,"High Street St Matthew Road",,53.689043542,-1.640931628,,,,,,
450012458,,"Hill Top Farm",,53.741588014,-1.629067565,,,,,,
450012457,,"Hill Top Farm",,53.74153343,-1.628855784,,,,,,
450016167,,"L1 Longcauseway Town Hall",,53.691151849,-1.627860085,,,,,,
450012459,,"Leeds Rd Nab Lane",,53.736778543,-1.640601012,,,,,,
450024181,,"Leeds Rd Nab Lane",,53.736687891,-1.640344068,,,,,,
450016276,,"Low Lane Old Hall Rd",,53.725042016,-1.635290482,,,,,,
450050402,,"Low Lane Old Hall Road",,53.724884792,-1.634869911,,,,,,
450012456,,"M62 Motorway Bridge",,53.742580025,-1.627239408,,,,,,
450028123,,"M62 Motorway Bridge",,53.742563273,-1.627633765,,,,,,
450050398,,"Manor Way Holly Grove",,53.707859535,-1.642195612,,,,,,
450016266,,"Manor Way Holly Grove",,53.708055327,-1.642326056,,,,,,
450050399,,"Manor Way Lime Tree Avenue",,53.707752099,-1.64536274,,,,,,
450016267,,"Manor Way Lime Tree Avenue",,53.707868986,-1.645376907,,,,,,
450029901,,"Manor Way Maythorne Avenue",,53.707660688,-1.647893446,,,,,,
450025701,,"Mayman Lane Cemetery Rd",,53.713176256,-1.640771762,,,,,,
450012146,,"Mayman Lane Mayman Close",,53.71447354,-1.638775835,,,,,,
450012147,,"Mayman Lane Mayman Close",,53.714760422,-1.638530949,,,,,,
450010352,,"Morley ASDA",,53.737196509,-1.610383652,,,,,,
450011468,,"Morley ASDA",,53.736825667,-1.606915477,,,,,,
450010340,,"Morley Town Hall",,53.745930951,-1.601568955,,,,,,
450011052,,"New Pavillion",,53.742806971,-1.598581099,,,,,,
450011083,,Queensway,,53.745654875,-1.605059058,,,,,,
450016244,,"Staincliffe Hall Road Beaumont Place",,53.707028237,-1.653368759,,,,,,
450016243,,"Staincliffe Hall Road Bunkers Lane",,53.708976669,-1.652245609,,,,,,
450016242,,"Staincliffe Hall Road Bunkers Lane",,53.709128673,-1.651971659,,,,,,
450016245,,"Staincliffe Hall Road Halifax Road",,53.707488401,-1.653545559,,,,,,
450016220,,"Staincliffe Road Brewton Lane",,53.702423008,-1.654904959,,,,,,
450024767,,"Staincliffe Road Church Lane",,53.691552128,-1.653449154,,,,,,
450016218,,"Staincliffe Road Healds Road",,53.699416405,-1.65332402,,,,,,
450016183,,"Staincliffe Road Heckmondwike Road",,53.690259613,-1.654065483,,,,,,
450016217,,"Staincliffe Road Knowles Hill Road",,53.699813406,-1.653850888,,,,,,
450016208,,"Staincliffe Road Moor Croft",,53.694593511,-1.65151597,,,,,,
450016209,,"Staincliffe Road Reservoir Street",,53.695304395,-1.651797857,,,,,,
450016216,,"Staincliffe Road Russell Street",,53.697786342,-1.652216616,,,,,,
450016210,,"Staincliffe Road School Lane",,53.697049199,-1.652177251,,,,,,
450016219,,"Staincliffe Road Squirrel Hall Reservoir",,53.702684356,-1.655145183,,,,,,
450016269,,"The Parade Manor Way",,53.707902516,-1.64760359,,,,,,
450012491,,"Upper Batley Lane Lark Hill",,53.729832523,-1.644820889,,,,,,
450012490,,"Upper Batley Lane Lark Hill",,53.729925926,-1.64540366,,,,,,
450012494,,"Upper Batley Lane Upper Batley Low Road",,53.726633795,-1.637597579,,,,,,
450012495,,"Upper Batley Lane Upper Batley Low Road",,53.726306341,-1.63726499,,,,,,
450012492,,"Upper Batley Lane Woodlands Road",,53.728350304,-1.642585624,,,,,,
450012493,,"Upper Batley Lane Woodlands Road",,53.728481166,-1.643157442,,,,,,
450011054,,"Weavers Close",,53.742722371,-1.603166123,,,,,,
450027932,,"Wellington Road Ring Road",,53.691327463,-1.632341005,,,,,,
450012479,,"Windmill Lane Upper Batley Lane",,53.731023806,-1.648911021,,,,,,
450028281,,"Windmill Lane Upper Batley Lane",,53.731060378,-1.649122924,,,,,,
450012486,,"Windsor Road Arundel Close",,53.734543769,-1.644712989,,,,,,
450012487,,"Windsor Road Arundel Close",,53.734714224,-1.644605439,,,,,,
450012488,,"Windsor Road Leeds Road",,53.736111425,-1.64294127,,,,,,
450012489,,"Windsor Road Leeds Road",,53.735948876,-1.642684935,,,,,,
450024777,,"Woodfield Ave Woodside Crescent",,53.709814657,-1.649875289,,,,,,
450029900,,"Woodfield Avenue Woodside Crescent",,53.70982603,-1.6506933,,,,,,
450016172,,"Wormald Street Ashworth Road",,53.691265501,-1.635597386,,,,,,
450016173,,"Wormald Street Ashworth Road",,53.691149991,-1.636037542,,,,,,
2290YHA00780,,"Ark Royal",,53.77864,-0.258104,,,,,,
2200YEA00974,,"Bilton Church",,53.778695,-0.248267,,,,,,
2200YEA11699,,"Bilton Church",,53.778447,-0.246669,,,,,,
2200YEA00973,,"Bilton Main Road",,53.778142,-0.244284,,,,,,
2200YEA00967,,"Bilton Main Road",,53.780008,-0.231806,,,,,,
2200YEA00968,,"Bilton Main Road",,53.779906,-0.234041,,,,,,
2200YEA00969,,"Bilton Main Road",,53.779335,-0.236129,,,,,,
2200YEA00970,,"Bilton Main Road",,53.779085,-0.237491,,,,,,
2200YEA00971,,"Bilton Main Road",,53.778432,-0.240174,,,,,,
2200YEA00972,,"Bilton Main Road",,53.77825,-0.241805,,,,,,
2200YEA00955,,"Bilton Main Road",,53.780243,-0.230658,,,,,,
2200YEA11816,,"East Riding Community Hospital",,53.852602,-0.413591,,,,,,
2200YEA12083,,Parklands,,53.785548,-0.205358,,,,,,
2200YEA12082,,Parklands,,53.78653,-0.204906,,,,,,
2200YEA00943,,"Preston (Cock and Bell)",,53.757654,-0.20054,,,,,,
2200YEA00944,,"Preston (Cock and Bell)",,53.756914,-0.20036,,,,,,
2200YEA00945,,"Preston Sproatley Road",,53.760129,-0.20136,,,,,,
2200YEA00946,,"Preston Sproatley Road",,53.760405,-0.201181,,,,,,
2200YEA12080,,"Spring Valley Campsite",,53.77719,-0.191707,,,,,,
2200YEA12081,,"Spring Valley Campsite",,53.778213,-0.190448,,,,,,
2200YEA00961,,"Sproatley Memorial",,53.791768,-0.190351,,,,,,
2200YEA00960,,"Sproatley Memorial",,53.791898,-0.190664,,,,,,
2200YEA00957,,"Wyton B1238",,53.781582,-0.217882,,,,,,
2200YEA11698,,"Wyton B1238",,53.780712,-0.224703,,,,,,
2200YEA12084,,"Wyton Hastings",,53.781693,-0.218075,,,,,,
2200YEA00956,,"Wyton Main Road",,53.780627,-0.225011,,,,,,
2290YHA00630,,"Thanet Primary School",,53.777911,-0.261762,,,,,,
2200YEA00472,,"Bridlington Brett Street",,54.089321,-0.204428,,,,,,
2200YEA00470,,"Bridlington Brett Street",,54.089254,-0.207764,,,,,,
2200YEA00436,,"Bridlington Burstall Hill",,54.098722,-0.215263,,,,,,
2200YEA01603,,"Bridlington Burstall Hill",,54.099247,-0.213023,,,,,,
2200YEA11929,,"Bridlington Bus Station",,54.083897,-0.189236,,,,,,
2200YEA11930,,"Bridlington Bus Station",,54.083938,-0.189525,,,,,,
2200YEA01577,,"Bridlington Northorpe Rise",,54.098174,-0.212809,,,,,,
2200YEA00434,,"Bridlington Northorpe Rise",,54.097259,-0.212328,,,,,,
2200YEA00033,,"Bridlington Prospect Street",,54.083281,-0.192458,,,,,,
2200YEA00497,,"Bridlington Quay Road",,54.08743,-0.202446,,,,,,
2200YEA00493,,"Bridlington Quay Road",,54.085151,-0.196062,,,,,,
2200YEA00498,,"Bridlington Quay Road",,54.088676,-0.203401,,,,,,
2200YEA00032,,"Bridlington Queen Street",,54.081742,-0.19118,,,,,,
2200YEA00463,,"Bridlington Sewerby Road",,54.095503,-0.198885,,,,,,
2200YEA00473,,"Bridlington St John's Street",,54.091971,-0.20436,,,,,,
2200YEA00464,,Kirkgate,,54.094432,-0.203015,,,,,,
2200YEA00435,,"New Pasture Lane",,54.096373,-0.215624,,,,,,
2200YEA00495,,"Quay Road",,54.085625,-0.199542,,,,,,
2200YEA00468,,Westgate,,54.093526,-0.213391,,,,,,
2200YEA00471,,"Bridlington Brett Street",,54.089149,-0.207968,,,,,,
2200YEA00462,,"Bridlington Sewerby Road",,54.095421,-0.198828,,,,,,
2200YEA11682,,"Bridlington St John's Street",,54.092646,-0.204376,,,,,,
2200YEA01659,,"Bridlington St John's Street",,54.089929,-0.203653,,,,,,
2200YEA00469,,"Bridlington Westgate",,54.093526,-0.210363,,,,,,
2200YEA00465,,Kirkgate,,54.094073,-0.203061,,,,,,
2200YEA01576,,Westgate,,54.093563,-0.214674,,,,,,
2200YEZ01276,,"Bridlington Health Centre",,54.084881,-0.20147,,,,,,
2200YEA01605,,"Bridlington Thornton Rd",,54.081998,-0.217953,,,,,,
2200YEA00427,,"Bridlington Thornton Road",,54.083962,-0.215851,,,,,,
2200YEZ01277,,"Health Centre Bridlington",,54.084929,-0.201667,,,,,,
2200YEA00426,,Hospital,,54.086682,-0.216789,,,,,,
2200YEZ01278,,"West Hill",,54.08057,-0.218641,,,,,,
